area_type,size,bath,balcony,price,total_sqft
Super built-up  Area,2 BHK,2.0,1.0,39.07,1056
Plot  Area,4 Bedroom,5.0,3.0,120.0,2600
Built-up  Area,3 BHK,2.0,3.0,62.0,1440
Super built-up  Area,3 BHK,3.0,1.0,95.0,1521
Super built-up  Area,2 BHK,2.0,1.0,51.0,1200
Super built-up  Area,2 BHK,2.0,1.0,38.0,1170
Super built-up  Area,4 BHK,4.0,,204.0,2732
Super built-up  Area,4 BHK,4.0,,600.0,3300
Super built-up  Area,3 BHK,3.0,1.0,63.25,1310
Plot  Area,6 Bedroom,6.0,,370.0,1020
Super built-up  Area,3 BHK,2.0,2.0,70.0,1800
Plot  Area,4 Bedroom,5.0,3.0,295.0,2785
Super built-up  Area,2 BHK,2.0,1.0,38.0,1000
Built-up  Area,2 BHK,2.0,2.0,40.0,1100
Plot  Area,3 Bedroom,3.0,2.0,148.0,2250
Super built-up  Area,2 BHK,2.0,2.0,73.5,1175
Super built-up  Area,3 BHK,3.0,2.0,48.0,1180
Super built-up  Area,3 BHK,3.0,3.0,60.0,1540
Super built-up  Area,3 BHK,4.0,2.0,290.0,2770
Super built-up  Area,2 BHK,2.0,2.0,48.0,1100
Built-up  Area,1 BHK,1.0,1.0,15.0,600
Super built-up  Area,3 BHK,3.0,1.0,122.0,1755
Plot  Area,4 Bedroom,5.0,2.0,380.0,2800
Super built-up  Area,3 BHK,3.0,1.0,103.0,1767
Super built-up  Area,1 RK,1.0,0.0,25.25,510
Super built-up  Area,3 BHK,3.0,2.0,56.0,1250
Super built-up  Area,2 BHK,1.0,1.0,23.1,660
Built-up  Area,3 BHK,3.0,2.0,81.0,1610
Super built-up  Area,2 BHK,2.0,2.0,48.77,1151
Super built-up  Area,3 BHK,2.0,1.0,47.0,1025
Super built-up  Area,4 BHK,4.0,0.0,186.0,2100 - 2850
Super built-up  Area,3 BHK,2.0,1.0,35.0,1075
Super built-up  Area,3 BHK,2.0,2.0,123.0,1760
Super built-up  Area,3 BHK,3.0,3.0,57.39,1693
Built-up  Area,3 BHK,3.0,,125.0,1925
Super built-up  Area,2 BHK,2.0,1.0,36.0,700
Super built-up  Area,2 BHK,2.0,1.0,45.5,1070
Super built-up  Area,3 BHK,3.0,2.0,125.0,1724
Super built-up  Area,3 BHK,2.0,2.0,56.12,1290
Built-up  Area,2 BHK,2.0,2.0,45.0,1143
Built-up  Area,2 BHK,2.0,,81.0,1296
Super built-up  Area,3 BHK,3.0,2.0,38.0,1254
Super built-up  Area,1 BHK,1.0,0.0,38.0,600
Plot  Area,1 Bedroom,1.0,0.0,48.0,660
Super built-up  Area,2 BHK,2.0,2.0,91.79,1330.74
Plot  Area,8 Bedroom,9.0,,200.0,600
Super built-up  Area,2 BHK,2.0,0.0,33.0,970
Super built-up  Area,2 BHK,2.0,1.0,94.82,1459
Plot  Area,2 Bedroom,1.0,1.0,130.0,800
Built-up  Area,2 BHK,2.0,1.0,36.0,869
Super built-up  Area,2 BHK,2.0,1.0,50.0,1270
Super built-up  Area,3 BHK,3.0,1.0,99.0,1670
Built-up  Area,3 BHK,3.0,2.0,91.0,2010
Super built-up  Area,2 BHK,2.0,2.0,75.0,1185
Super built-up  Area,3 BHK,2.0,3.0,75.0,1600
Super built-up  Area,2 BHK,2.0,2.0,44.0,1200
Built-up  Area,4 Bedroom,,,192.0,3010 - 3410
Super built-up  Area,2 BHK,2.0,2.0,185.0,1500
Plot  Area,6 Bedroom,4.0,1.0,150.0,1407
Super built-up  Area,2 BHK,2.0,2.0,45.0,840
Plot  Area,3 Bedroom,3.0,2.0,240.0,4395
Super built-up  Area,2 BHK,2.0,1.0,55.0,845
Plot  Area,4 Bedroom,5.0,3.0,650.0,5700
Built-up  Area,2 BHK,2.0,2.0,44.0,1160
Built-up  Area,8 Bedroom,8.0,0.0,140.0,3000
Super built-up  Area,2 BHK,2.0,1.0,62.0,1100
Super built-up  Area,2 BHK,2.0,3.0,43.0,1140
Super built-up  Area,2 BHK,2.0,1.0,57.0,1220
Plot  Area,8 Bedroom,7.0,0.0,85.0,1350
Super built-up  Area,2 BHK,2.0,1.0,36.68,1005
Plot  Area,3 Bedroom,3.0,2.0,100.0,500
Super built-up  Area,2 BHK,2.0,1.0,80.58,1358
Super built-up  Area,3 BHK,3.0,1.0,101.0,1569
Super built-up  Area,2 BHK,2.0,1.0,70.0,1240
Super built-up  Area,3 BHK,3.0,2.0,140.0,2089
Super built-up  Area,2 BHK,2.0,1.0,48.23,1206
Super built-up  Area,2 BHK,2.0,3.0,40.0,1150
Built-up  Area,3 BHK,3.0,3.0,205.0,2511
Built-up  Area,2 BHK,1.0,0.0,22.0,460
Built-up  Area,6 Bedroom,6.0,3.0,250.0,4400
Super built-up  Area,3 BHK,2.0,2.0,105.0,1660
Built-up  Area,4 Bedroom,,,224.5,2957 - 3450
